,symbol,price,action,reason,spot_price
2025-07-14 11:31:47.947844+05:30,NSE:NIFTY2572425300CE,100.2,-1,Entry - Short Call Spread - Sell Call,25041.25
2025-07-14 11:31:47.947845+05:30,NSE:NIFTY2572425550CE,42.8,1,Entry - Short Call Spread - Buy Call,25041.25
2025-07-15 11:12:06.121029+05:30,NSE:NIFTY2572425300CE,162.95,1,Exit - Supertrend Signal Change - Buy Back Call,25240.25
2025-07-15 11:12:06.121030+05:30,NSE:NIFTY2572425550CE,70.65,-1,Exit - Supertrend Signal Change - Sell Call,25240.25
